customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,,,ACTIVE,NONE,49,52043ee2162cf5aa7ee79974281641c6f11a68d276429a91f8ca0d4b6efa8100
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,,,ACTIVE,NONE,25,2973abc54daa8a5f8ccfe9362140c63247c5eee03f1d93f4c830291c32bc3057
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,,,ACTIVE,NONE,24,64f17e6a330a85798e4998f62d0930d14db8db1c054af6c9090f7dd3e38380dc
00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,,,ACTIVE,NONE,54,5d36574f52495e81f019b680c843c443bd343d5ca5b1c222539af5973a23ae6d
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,1,1,ACTIVE,Regularly,52,25fa5ddee9aac01b35208d01736e57942317d756b32ddd4564743b005a805b1d
000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,,,,,,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,,,ACTIVE,NONE,20,fe7b8e2b3fafb89ca90db17ffeeae0fd29b795d803f74961cf8f27adb16e67e4
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,1,1,ACTIVE,Regularly,32,8d6f45050876d059c830a0fe63f1a4c022de279bb68ce312615afb86814fec7a
00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,,,ACTIVE,NONE,20,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,,,ACTIVE,NONE,20,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,,,ACTIVE,NONE,29,d93e1aaecdebf9f71ab42cc0c5fdbb378514c94971ad1c84ff8af6b11e0613fa
000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,,,ACTIVE,NONE,31,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,,,ACTIVE,NONE,49,7e2caa18837edc6a7ad542c4c45f5a3a59da2a6433f540b0087307e318e88e7b
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,1,1,ACTIVE,Regularly,56,b31984b20a8c478de38eaf113c581ff64e63c4242e607bbf2f3516b4ed40623d
0000ae1bbb25e04bdc7e35f718e852adfb3fbb72ef38b3fa01ce4272a6326730,1,1,ACTIVE,Regularly,29,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0000b2f1829e23b24feec422ef13df3ccedaedc85368e6664d04ca30b2f8daff,1,1,ACTIVE,Regularly,54,ca8ca81e8b5794992144273b0eada83a7e09ec728c1093b79ffcbbf15b12b599
0000b7a134c3ec0d8842fad1fd4ca28517424c14fc48485d65bd332309b7439a,,,ACTIVE,NONE,75,e3f4042e6f6c5d8165f7c08fc865eb7e9281396ddca498a394817d9d918646f6
0000b95f630aaa9313028ce9c41154bb95ac7afa34f55bc8782a1676e35cec3e,1,1,ACTIVE,Regularly,49,f63abf76506122d9f11cc8cedc8931e05ef738c01663403987b20a523d6a104e
0000c97821eb48d0e590fd309133f0a6c08f7750f64cccf2ba053e11119093c2,,,ACTIVE,NONE,49,8ff2d3103bd127d46e7238c6cee0f3fd9a01bd4a49fb98883df888090eff2927
0000d6c053fc8f9389d4565051f12402d5774aa4a9d2e5c2d5cd5f5f3c9a4488,1,1,ACTIVE,Regularly,41,5b5f53c673d0fc0774fbbd3b2174b799c99f12029605ee241e7cfee3a24bc1e8
0000e9a4db2da4e9c68558ad1e7df570d02767b213ec6bcb10283ab05ee53015,1,1,ACTIVE,Regularly,27,de497104dda880ac040e1476cfa3587c405ceb6f53dc53c9f3766d0aefec20e3
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,1,1,ACTIVE,Regularly,30,7c902dca60ee0bd0f9030eefd445d11146e8d24835738a3f7205f5c442ffb497
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,,,ACTIVE,NONE,48,11404208b30249e22baed5c16782671d46b5e5e0690ab7511bdc3de8eac5a881
0000ffa57a8098a6cd99c0f0782b3e674f47d68db69dc173c7e67e0f68170c4c,,,ACTIVE,NONE,35,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
0001076e215991bad544dd3e7312f78d9f576a1cc3ddc407b2bc9024794ead5f,,,ACTIVE,NONE,22,9120142ed06bcd1e39726f05a3c6573f58e4826dc9d7176a1b9cac803656e207
